product_id,inventory_date,month,year,quarter,day_of_week,store_id,category,region,units_sold,inventory_level,units_ordered,stock_after_sales,order_fulfillment_gap,is_stockout,inventory_health,supplier_name,supplier_lead_time,defect_rate,defect_risk_level,shipping_cost,transport_mode,production_volume,manufacturing_cost,is_defective,stock_health
P0001,2022-01-01,1,2022,1,7,S001,Groceries,North,127,231,55,104,-72,0,Medium,null,null,null,null,null,null,null,null,null,null
P0002,2022-01-01,1,2022,1,7,S001,Toys,South,150,204,66,54,-84,0,Medium,null,null,null,null,null,null,null,null,null,null
P0003,2022-01-01,1,2022,1,7,S001,Toys,West,65,102,51,37,-14,0,Low,null,null,null,null,null,null,null,null,null,null
P0004,2022-01-01,1,2022,1,7,S001,Toys,North,61,469,164,408,103,0,High,null,null,null,null,null,null,null,null,null,null
P0005,2022-01-01,1,2022,1,7,S001,Electronics,East,14,166,135,152,121,0,Medium,null,null,null,null,null,null,null,null,null,null
P0006,2022-01-01,1,2022,1,7,S001,Groceries,South,128,138,102,10,-26,0,Low,null,null,null,null,null,null,null,null,null,null
P0007,2022-01-01,1,2022,1,7,S001,Furniture,East,97,359,167,262,70,0,High,null,null,null,null,null,null,null,null,null,null
P0008,2022-01-01,1,2022,1,7,S001,Clothing,North,312,380,54,68,-258,0,High,null,null,null,null,null,null,null,null,null,null
P0009,2022-01-01,1,2022,1,7,S001,Electronics,West,175,183,135,8,-40,0,Medium,null,null,null,null,null,null,null,null,null,null
P0010,2022-01-01,1,2022,1,7,S001,Toys,South,28,108,196,80,168,0,Low,null,null,null,null,null,null,null,null,null,null
P0011,2022-01-01,1,2022,1,7,S001,Furniture,South,150,258,153,108,3,0,Medium,null,null,null,null,null,null,null,null,null,null
P0012,2022-01-01,1,2022,1,7,S001,Clothing,West,24,66,70,42,46,0,Low,null,null,null,null,null,null,null,null,null,null
P0013,2022-01-01,1,2022,1,7,S001,Toys,South,42,96,85,54,43,0,Low,null,null,null,null,null,null,null,null,null,null
P0014,2022-01-01,1,2022,1,7,S001,Clothing,West,12,193,187,181,175,0,Medium,null,null,null,null,null,null,null,null,null,null
P0015,2022-01-01,1,2022,1,7,S001,Clothing,North,369,379,154,10,-215,0,High,null,null,null,null,null,null,null,null,null,null
P0016,2022-01-01,1,2022,1,7,S001,Electronics,North,255,363,69,108,-186,0,High,null,null,null,null,null,null,null,null,null,null
P0017,2022-01-01,1,2022,1,7,S001,Toys,West,246,318,177,72,-69,0,High,null,null,null,null,null,null,null,null,null,null
