id,warehouse_level,warehouse_id,warehouse_size_sqm,region_type,has_WMS,has_temperature_monitoring,has_generator_backup,has_pest_control,has_security_system,staff_count,staff_trained_gdp,commodity_category,storage_requirement,criticality,volume_share_pct,year,month,storage_conditions_adequate,inventory_accuracy_pct,stock_record_up_to_date,fefo_compliance,order_fulfilment_rate_pct,orders_received_month,orders_fulfilled_complete,orders_backordered,wastage_rate_pct,expired_stock_value_usd,damaged_goods_value_usd,capacity_utilisation_pct,overflow_to_other_space,temperature_excursion_month,pest_damage_reported,theft_reported,inventory_issue,stockout_at_warehouse,facilities_affected_by_stockout,report_submitted
1,district_store,WH_0009,137,rural,0,0,0,0,0,2,0,essential_medicines,ambient,high,35.0,2023,10,0,33.6,0,0,15.6,9,1,8,32.1,69.0,12.0,33.9,0,0,0,0,theft_pilferage,1,0,0
2,district_store,WH_0033,239,rural,0,0,0,0,0,3,0,ARVs,ambient,high,15.0,2021,3,0,35.6,0,0,22.9,3,0,3,34.8,151.0,159.0,42.4,0,0,0,0,expired_stock,1,1,0
3,district_store,WH_0028,123,rural,0,0,0,0,0,4,1,vaccines,cold_chain_2_8C,critical,8.0,2021,5,0,22.4,0,0,36.7,5,1,4,23.4,225.0,30.0,26.4,0,6,0,0,expired_stock,1,1,0
4,district_store,WH_0046,204,rural,0,0,0,0,0,1,0,laboratory_reagents,cold_chain_2_8C,medium,5.0,2022,11,0,13.7,0,0,24.2,2,0,2,22.6,67.0,42.0,52.6,0,6,0,0,stock_record_discrepancy,0,0,0
5,district_store,WH_0054,137,peri_urban,0,0,0,0,0,2,1,contraceptives,ambient,medium,8.0,2023,2,0,18.1,0,0,44.0,4,1,3,27.7,114.0,43.0,42.4,0,0,0,0,expired_stock,0,0,0
6,district_store,WH_0041,225,rural,0,0,0,0,0,1,0,malaria_commodities,ambient,high,10.0,2024,5,0,17.3,0,0,29.9,1,0,1,37.0,15.0,62.0,9.2,0,0,0,0,temperature_excursion,1,3,0
7,district_store,WH_0009,201,peri_urban,0,0,0,0,0,3,0,IV_fluids,ambient,high,5.0,2023,9,1,29.1,0,0,58.2,4,2,2,36.0,186.0,19.0,7.8,0,0,0,0,FEFO_not_followed,0,0,0
8,district_store,WH_0012,267,rural,0,0,0,0,0,2,0,PPE_IPC_supplies,ambient,medium,4.0,2021,5,0,16.2,1,0,36.5,2,0,2,28.8,12.0,0.0,47.1,0,0,0,0,expired_stock,1,5,0
9,district_store,WH_0054,194,rural,0,0,1,0,0,2,0,surgical_supplies,ambient,medium,3.0,2021,1,0,33.5,0,0,34.0,7,2,5,30.9,90.0,7.0,13.6,0,0,0,0,damaged_goods,1,2,0
10,district_store,WH_0019,179,rural,0,0,0,0,0,5,0,nutrition_commodities,ambient,medium,3.0,2023,9,0,28.8,0,1,57.3,5,2,3,33.2,67.0,43.0,40.5,0,0,0,1,overstocking,1,0,0
11,district_store,WH_0048,218,rural,0,0,0,0,0,1,0,medical_devices_consumables,ambient,low,2.0,2023,6,0,37.8,0,0,33.5,3,1,2,31.9,311.0,72.0,38.1,0,0,0,0,receiving_error,0,0,0
12,district_store,WH_0014,279,rural,0,0,0,0,0,2,0,controlled_substances,secure_ambient,critical,2.0,2024,5,0,18.5,0,0,34.1,5,1,4,30.7,2.0,29.0,48.0,0,0,1,0,understocking,1,7,0
13,district_store,WH_0091,192,peri_urban,0,0,0,0,0,5,0,essential_medicines,ambient,high,35.0,2021,1,0,44.2,0,0,21.1,6,1,5,24.8,13.0,128.0,12.5,0,0,1,1,expired_stock,0,0,0
14,district_store,WH_0054,188,rural,0,0,0,0,0,3,0,ARVs,ambient,high,15.0,2023,10,1,28.8,0,0,17.3,6,1,5,27.7,27.0,8.0,56.6,0,0,0,0,understocking,0,0,0
15,district_store,WH_0062,179,rural,0,0,0,0,0,6,0,vaccines,cold_chain_2_8C,critical,8.0,2021,4,0,32.4,0,0,25.4,2,0,2,20.0,406.0,21.0,53.4,0,6,0,0,damaged_goods,0,0,1
16,district_store,WH_0067,220,peri_urban,0,0,0,0,0,3,0,laboratory_reagents,cold_chain_2_8C,medium,5.0,2024,3,0,23.7,0,0,36.8,5,1,4,21.6,335.0,24.0,37.3,0,4,0,0,theft_pilferage,0,0,0
17,district_store,WH_0037,181,rural,0,0,0,0,0,3,0,contraceptives,ambient,medium,8.0,2022,7,1,20.2,0,0,8.3,1,0,1,25.5,81.0,45.0,60.0,0,0,0,0,receiving_error,0,0,0
18,district_store,WH_0062,135,peri_urban,0,0,0,0,0,5,1,malaria_commodities,ambient,high,10.0,2024,10,0,37.8,0,0,37.7,6,2,4,21.6,15.0,2.0,43.5,0,0,0,0,FEFO_not_followed,0,0,0
