id,warehouse_level,warehouse_id,warehouse_size_sqm,region_type,has_WMS,has_temperature_monitoring,has_generator_backup,has_pest_control,has_security_system,staff_count,staff_trained_gdp,commodity_category,storage_requirement,criticality,volume_share_pct,year,month,storage_conditions_adequate,inventory_accuracy_pct,stock_record_up_to_date,fefo_compliance,order_fulfilment_rate_pct,orders_received_month,orders_fulfilled_complete,orders_backordered,wastage_rate_pct,expired_stock_value_usd,damaged_goods_value_usd,capacity_utilisation_pct,overflow_to_other_space,temperature_excursion_month,pest_damage_reported,theft_reported,inventory_issue,stockout_at_warehouse,facilities_affected_by_stockout,report_submitted
1,national_CMS,WH_0009,3440,rural,1,1,1,1,1,44,0,essential_medicines,ambient,high,35.0,2024,10,0,81.8,1,1,89.7,53,47,6,10.3,769.0,46.0,70.6,0,0,0,0,none,0,0,1
2,national_CMS,WH_0007,4768,peri_urban,1,1,1,1,1,34,1,ARVs,ambient,high,15.0,2022,12,1,100.0,0,1,65.8,49,32,17,7.4,1610.0,439.0,94.8,0,0,0,0,none,0,0,1
3,national_CMS,WH_0077,5348,urban,1,1,1,1,1,36,1,vaccines,cold_chain_2_8C,critical,8.0,2022,10,1,85.5,1,0,73.2,49,35,14,6.6,648.0,542.0,99.5,1,0,0,0,none,0,0,1
4,national_CMS,WH_0079,4476,urban,1,1,1,1,1,34,0,laboratory_reagents,cold_chain_2_8C,medium,5.0,2022,4,1,88.0,1,1,71.6,56,40,16,6.5,672.0,71.0,79.6,0,0,0,0,none,0,0,1
5,national_CMS,WH_0093,5669,urban,1,1,1,1,1,38,1,contraceptives,ambient,medium,8.0,2022,2,1,66.1,0,0,64.4,56,36,20,3.3,1901.0,110.0,79.9,0,0,0,0,theft_pilferage,0,0,1
6,national_CMS,WH_0046,5108,peri_urban,1,1,1,1,1,39,1,malaria_commodities,ambient,high,10.0,2023,11,1,84.2,1,1,90.5,41,37,4,2.1,4039.0,744.0,79.2,0,0,0,0,none,1,108,1
7,national_CMS,WH_0047,6257,urban,1,1,1,1,1,40,1,IV_fluids,ambient,high,5.0,2023,10,1,72.2,1,1,75.9,41,31,10,0.5,13923.0,182.0,89.2,0,0,0,0,stock_record_discrepancy,0,0,1
8,national_CMS,WH_0024,3912,urban,1,1,1,1,1,36,1,PPE_IPC_supplies,ambient,medium,4.0,2024,1,1,76.5,1,0,80.6,60,48,12,14.5,11273.0,1412.0,101.6,1,0,0,0,damaged_goods,0,0,1
9,national_CMS,WH_0004,7585,urban,1,1,1,1,1,33,0,surgical_supplies,ambient,medium,3.0,2022,2,1,89.7,0,1,75.5,41,30,11,0.5,3421.0,509.0,66.7,0,0,0,0,none,0,0,1
10,national_CMS,WH_0082,4273,urban,1,1,1,1,1,40,0,nutrition_commodities,ambient,medium,3.0,2022,2,0,79.3,1,1,61.7,41,25,16,20.6,1630.0,717.0,80.7,0,0,0,0,stock_record_discrepancy,0,0,1
11,national_CMS,WH_0025,1779,urban,1,1,1,1,1,42,1,medical_devices_consumables,ambient,low,2.0,2023,10,1,95.5,1,0,56.0,44,24,20,2.5,8560.0,110.0,67.4,0,0,0,0,none,0,0,1
12,national_CMS,WH_0092,6166,urban,1,1,1,1,1,36,1,controlled_substances,secure_ambient,critical,2.0,2021,2,1,84.8,1,1,93.2,48,44,4,8.3,14666.0,273.0,89.7,0,0,0,0,none,0,0,1
13,national_CMS,WH_0094,3855,urban,1,1,1,1,1,40,0,essential_medicines,ambient,high,35.0,2021,5,0,61.1,0,0,61.3,57,34,23,8.3,5484.0,96.0,81.2,0,0,0,0,overstocking,0,0,1
14,national_CMS,WH_0025,4442,urban,1,1,1,1,1,38,1,ARVs,ambient,high,15.0,2022,4,1,81.3,1,1,97.5,62,60,2,13.9,3001.0,1437.0,91.6,0,0,0,0,none,0,0,1
15,national_CMS,WH_0018,3232,peri_urban,1,1,1,1,1,48,1,vaccines,cold_chain_2_8C,critical,8.0,2021,9,1,90.8,0,1,60.4,57,34,23,11.2,3349.0,721.0,85.5,0,0,0,0,none,0,0,1
16,national_CMS,WH_0001,1563,urban,1,1,1,1,1,45,1,laboratory_reagents,cold_chain_2_8C,medium,5.0,2023,7,0,89.1,1,1,83.5,48,40,8,12.1,669.0,475.0,88.5,0,0,0,0,none,0,0,1
17,national_CMS,WH_0009,3412,urban,1,1,1,1,1,44,0,contraceptives,ambient,medium,8.0,2024,12,1,82.1,0,0,90.6,40,36,4,7.0,958.0,595.0,78.1,0,0,1,0,none,0,0,1
18,national_CMS,WH_0096,3808,urban,1,1,1,1,1,51,1,malaria_commodities,ambient,high,10.0,2024,6,0,76.3,0,1,80.1,39,31,8,10.7,1600.0,292.0,88.0,0,0,0,0,understocking,1,0,1
19,national_CMS,WH_0082,3055,urban,1,1,1,1,1,48,0,IV_fluids,ambient,high,5.0,2024,8,0,95.1,0,1,66.5,40,26,14,14.8,10776.0,585.0,76.1,0,0,0,0,none,0,0,1
20,national_CMS,WH_0052,2926,urban,1,1,1,1,1,42,0,PPE_IPC_supplies,ambient,medium,4.0,2024,12,1,74.7,1,0,68.2,56,38,18,9.6,892.0,1618.0,79.9,0,0,0,0,understocking,0,0,1
21,national_CMS,WH_0046,5523,urban,1,1,1,1,1,31,1,surgical_supplies,ambient,medium,3.0,2022,7,1,86.0,1,1,65.5,44,28,16,2.4,268.0,134.0,110.0,1,0,0,0,none,0,0,1
22,national_CMS,WH_0055,5277,urban,1,1,1,1,1,46,1,nutrition_commodities,ambient,medium,3.0,2023,8,1,84.7,1,0,86.7,50,43,7,4.1,2706.0,590.0,95.0,0,0,0,0,none,0,0,1
23,national_CMS,WH_0049,6403,peri_urban,1,1,1,1,1,48,1,medical_devices_consumables,ambient,low,2.0,2023,3,1,46.4,0,0,84.5,46,38,8,0.5,5132.0,883.0,83.7,0,0,0,0,expired_stock,0,0,1
24,national_CMS,WH_0092,3544,peri_urban,1,1,1,1,1,39,1,controlled_substances,secure_ambient,critical,2.0,2024,12,1,100.0,1,1,71.3,33,23,10,11.2,1488.0,919.0,49.1,0,0,0,0,none,0,0,1
25,national_CMS,WH_0056,4619,peri_urban,1,1,1,1,1,27,1,essential_medicines,ambient,high,35.0,2022,8,0,88.7,1,0,76.7,61,46,15,2.8,2576.0,72.0,83.9,0,0,0,0,none,0,0,1
26,national_CMS,WH_0032,4760,rural,1,1,1,1,1,39,1,ARVs,ambient,high,15.0,2021,3,1,71.2,1,0,98.0,49,48,1,9.8,9613.0,2196.0,80.6,0,0,0,0,FEFO_not_followed,0,0,1
27,national_CMS,WH_0096,7416,rural,1,1,1,1,1,36,0,vaccines,cold_chain_2_8C,critical,8.0,2022,8,1,66.6,1,1,90.2,48,43,5,14.4,11851.0,588.0,93.1,0,1,0,0,stock_record_discrepancy,0,0,1
28,national_CMS,WH_0066,3790,peri_urban,1,1,1,1,1,46,1,laboratory_reagents,cold_chain_2_8C,medium,5.0,2023,10,0,82.4,1,1,85.1,48,40,8,14.8,831.0,702.0,109.2,1,1,0,0,none,0,0,1
29,national_CMS,WH_0086,5869,urban,1,1,1,1,1,44,0,contraceptives,ambient,medium,8.0,2022,3,1,80.3,1,0,58.9,52,30,22,6.0,2947.0,174.0,110.0,1,0,0,0,none,1,6,1
30,national_CMS,WH_0088,4514,rural,1,1,1,1,1,45,1,malaria_commodities,ambient,high,10.0,2024,5,1,62.6,0,1,39.5,52,20,32,4.4,898.0,177.0,90.2,0,0,0,0,overstocking,0,0,1
31,national_CMS,WH_0063,5937,rural,1,1,1,1,1,43,0,IV_fluids,ambient,high,5.0,2024,6,1,91.5,1,1,71.6,50,35,15,12.8,36937.0,53.0,50.2,0,0,0,0,none,0,0,1
32,national_CMS,WH_0005,3453,urban,1,1,1,1,1,34,1,PPE_IPC_supplies,ambient,medium,4.0,2023,1,1,90.4,0,1,74.8,50,37,13,11.4,9137.0,313.0,83.6,0,0,0,0,none,0,0,1
33,national_CMS,WH_0034,5423,rural,1,1,1,1,1,26,0,surgical_supplies,ambient,medium,3.0,2022,3,1,79.7,0,1,89.7,29,26,3,0.5,282.0,954.0,69.7,0,0,0,1,receiving_error,0,0,1
34,national_CMS,WH_0089,3660,urban,1,1,1,1,1,51,1,nutrition_commodities,ambient,medium,3.0,2024,10,1,70.9,1,0,84.6,44,37,7,11.7,1103.0,5.0,58.2,0,0,1,0,FEFO_not_followed,0,0,1
35,national_CMS,WH_0082,5382,urban,1,1,1,1,1,31,1,medical_devices_consumables,ambient,low,2.0,2022,4,1,66.4,1,1,100.0,52,52,0,9.2,7689.0,575.0,68.8,0,0,0,0,overstocking,0,0,1
36,national_CMS,WH_0097,4815,urban,1,1,1,1,1,35,1,controlled_substances,secure_ambient,critical,2.0,2023,11,1,86.1,1,0,94.5,48,45,3,7.0,5880.0,489.0,77.4,0,0,0,0,none,0,0,1
