id,warehouse_level,warehouse_id,warehouse_size_sqm,region_type,has_WMS,has_temperature_monitoring,has_generator_backup,has_pest_control,has_security_system,staff_count,staff_trained_gdp,commodity_category,storage_requirement,criticality,volume_share_pct,year,month,storage_conditions_adequate,inventory_accuracy_pct,stock_record_up_to_date,fefo_compliance,order_fulfilment_rate_pct,orders_received_month,orders_fulfilled_complete,orders_backordered,wastage_rate_pct,expired_stock_value_usd,damaged_goods_value_usd,capacity_utilisation_pct,overflow_to_other_space,temperature_excursion_month,pest_damage_reported,theft_reported,inventory_issue,stockout_at_warehouse,facilities_affected_by_stockout,report_submitted
1,regional_warehouse,WH_0009,1032,rural,0,0,0,0,0,7,0,essential_medicines,ambient,high,35.0,2024,10,0,68.5,1,1,57.5,16,9,7,14.6,1838.0,245.0,58.6,0,0,0,0,stock_record_discrepancy,1,5,0
2,regional_warehouse,WH_0037,1269,peri_urban,0,0,0,0,0,14,0,ARVs,ambient,high,15.0,2024,12,1,47.0,0,0,55.3,17,9,8,21.4,21.0,33.0,74.5,0,0,0,0,pest_infestation,0,0,1
3,regional_warehouse,WH_0025,1110,peri_urban,0,0,0,0,0,10,0,vaccines,cold_chain_2_8C,critical,8.0,2022,2,0,41.4,1,1,54.1,17,9,8,18.8,1314.0,58.0,71.9,0,1,1,0,pest_infestation,1,7,1
4,regional_warehouse,WH_0050,1799,peri_urban,0,0,0,0,0,14,0,laboratory_reagents,cold_chain_2_8C,medium,5.0,2024,9,0,52.5,1,0,64.6,11,7,4,19.2,414.0,137.0,66.1,0,3,0,0,theft_pilferage,1,7,1
5,regional_warehouse,WH_0066,2158,peri_urban,0,0,0,0,0,12,1,contraceptives,ambient,medium,8.0,2023,2,0,60.0,0,0,56.0,13,7,6,14.9,29.0,318.0,67.4,0,0,0,0,stock_record_discrepancy,0,0,1
6,regional_warehouse,WH_0025,2295,rural,0,0,0,1,0,11,0,malaria_commodities,ambient,high,10.0,2022,8,0,59.6,0,1,42.2,10,4,6,11.9,1417.0,190.0,63.2,0,0,0,0,understocking,0,0,1
7,regional_warehouse,WH_0088,2191,peri_urban,0,0,0,0,0,8,0,IV_fluids,ambient,high,5.0,2022,2,1,62.7,0,0,49.5,10,4,6,7.7,684.0,204.0,46.7,0,0,0,0,understocking,0,0,1
8,regional_warehouse,WH_0043,1719,peri_urban,0,0,0,0,0,18,0,PPE_IPC_supplies,ambient,medium,4.0,2023,2,1,56.1,1,0,80.2,22,17,5,10.7,4303.0,12.0,83.1,0,0,0,0,expired_stock,0,0,0
9,regional_warehouse,WH_0093,2494,peri_urban,0,0,0,0,0,9,0,surgical_supplies,ambient,medium,3.0,2024,11,1,40.9,0,1,77.9,13,10,3,21.9,302.0,239.0,63.0,0,0,1,1,stock_record_discrepancy,1,1,0
10,regional_warehouse,WH_0052,1569,peri_urban,0,0,0,1,0,9,0,nutrition_commodities,ambient,medium,3.0,2023,9,1,41.7,0,1,59.2,17,10,7,17.5,1166.0,33.0,87.1,0,0,0,0,overstocking,1,1,1
11,regional_warehouse,WH_0017,2277,peri_urban,0,0,0,0,0,19,0,medical_devices_consumables,ambient,low,2.0,2022,6,0,75.9,0,0,47.6,17,8,9,22.9,1023.0,47.0,62.1,0,0,0,0,understocking,1,12,1
12,regional_warehouse,WH_0096,1266,peri_urban,0,0,0,0,0,8,0,controlled_substances,secure_ambient,critical,2.0,2023,12,0,60.0,0,0,43.1,10,4,6,25.4,1972.0,46.0,56.4,0,0,0,0,receiving_error,0,0,1
13,regional_warehouse,WH_0079,1433,urban,0,0,0,0,0,15,0,essential_medicines,ambient,high,35.0,2024,5,0,65.1,1,0,48.9,10,4,6,15.7,13.0,110.0,41.0,0,0,0,0,pest_infestation,0,0,0
14,regional_warehouse,WH_0074,864,rural,0,0,0,0,0,14,1,ARVs,ambient,high,15.0,2024,10,1,46.5,1,0,64.3,21,13,8,16.7,9.0,34.0,35.1,0,0,0,0,FEFO_not_followed,1,12,0
15,regional_warehouse,WH_0012,1990,rural,1,0,0,0,0,13,1,vaccines,cold_chain_2_8C,critical,8.0,2024,10,0,64.6,0,0,57.9,16,9,7,17.3,659.0,71.0,55.9,0,2,0,0,temperature_excursion,1,25,1
16,regional_warehouse,WH_0042,1980,peri_urban,0,0,0,0,0,7,0,laboratory_reagents,cold_chain_2_8C,medium,5.0,2022,7,0,54.7,1,0,28.2,16,4,12,15.7,269.0,52.0,81.6,0,4,0,0,temperature_excursion,0,0,0
17,regional_warehouse,WH_0053,1600,rural,0,0,0,0,0,10,0,contraceptives,ambient,medium,8.0,2021,5,1,68.0,1,1,58.8,11,6,5,8.8,24.0,441.0,42.6,0,0,0,0,overstocking,1,7,0
18,regional_warehouse,WH_0008,1695,peri_urban,0,0,0,0,1,9,1,malaria_commodities,ambient,high,10.0,2022,12,0,74.5,0,0,72.0,10,7,3,15.8,271.0,194.0,68.9,0,0,0,0,expired_stock,0,0,1
19,regional_warehouse,WH_0063,1786,peri_urban,0,0,1,0,0,13,0,IV_fluids,ambient,high,5.0,2024,3,1,42.9,0,1,57.8,15,8,7,28.2,2860.0,723.0,53.7,0,0,0,0,pest_infestation,0,0,1
20,regional_warehouse,WH_0003,1650,peri_urban,0,0,0,1,0,11,0,PPE_IPC_supplies,ambient,medium,4.0,2021,5,1,44.2,0,0,72.0,15,10,5,19.8,1923.0,878.0,60.6,0,0,0,0,understocking,0,0,0
21,regional_warehouse,WH_0096,2225,rural,0,0,0,0,0,11,1,surgical_supplies,ambient,medium,3.0,2023,8,0,61.5,0,1,26.7,6,1,5,19.2,609.0,315.0,52.9,0,0,0,0,stock_record_discrepancy,1,1,0
22,regional_warehouse,WH_0044,1621,rural,1,0,0,0,0,16,0,nutrition_commodities,ambient,medium,3.0,2022,1,0,51.3,1,0,35.3,8,2,6,10.5,1507.0,187.0,62.9,0,0,0,0,understocking,0,0,1
23,regional_warehouse,WH_0050,2331,urban,0,1,0,1,0,13,0,medical_devices_consumables,ambient,low,2.0,2024,11,0,44.2,1,0,26.4,13,3,10,15.4,1221.0,121.0,69.1,0,0,0,0,damaged_goods,1,8,1
24,regional_warehouse,WH_0007,1674,rural,0,0,0,0,0,17,1,controlled_substances,secure_ambient,critical,2.0,2023,7,0,49.9,0,0,66.3,25,16,9,14.1,1512.0,11.0,51.3,0,0,0,0,stock_record_discrepancy,1,1,1
25,regional_warehouse,WH_0089,1090,peri_urban,0,0,1,0,0,12,0,essential_medicines,ambient,high,35.0,2024,9,0,53.8,1,1,29.6,17,5,12,19.4,400.0,9.0,48.2,0,0,0,0,stock_record_discrepancy,1,12,1
26,regional_warehouse,WH_0093,1863,urban,0,0,0,0,0,13,0,ARVs,ambient,high,15.0,2024,3,1,51.4,0,0,78.8,13,10,3,22.3,2483.0,202.0,83.7,0,0,0,0,stock_record_discrepancy,1,2,1
27,regional_warehouse,WH_0070,924,rural,0,0,0,0,0,8,1,vaccines,cold_chain_2_8C,critical,8.0,2023,2,1,54.0,0,0,52.2,15,7,8,17.2,78.0,287.0,72.7,0,2,0,0,receiving_error,1,18,0
